Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,18,0,279,0,1522,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,138,0,763,0,1.0,1.0,1.0,1.0,1.0
15,18,18,0,94,0,507,0,1.0,1.0,1.0,1.0,1.0
20,18,18,0,70,0,381,0,1.0,1.0,1.0,1.0,1.0
25,18,18,0,58,0,303,0,1.0,1.0,1.0,1.0,1.0
30,18,18,0,46,0,255,0,1.0,1.0,1.0,1.0,1.0
35,18,18,0,42,0,216,0,1.0,1.0,1.0,1.0,1.0
40,18,18,0,34,0,192,0,1.0,1.0,1.0,1.0,1.0
45,18,16,-2,23,5,163,10,0.9253731343283582,0.8214285714285714,0.696969696969697,0.7540983606557377,0.8336038961038961
50,18,18,0,28,0,153,0,1.0,1.0,1.0,1.0,1.0
55,17,18,1,25,6,132,1,0.9573170731707317,0.8064516129032258,0.9615384615384616,0.8771929824561403,0.9590301003344481
60,18,18,0,26,0,125,0,1.0,1.0,1.0,1.0,1.0
65,17,17,0,21,0,118,0,1.0,1.0,1.0,1.0,1.0
70,17,17,0,21,0,108,0,1.0,1.0,1.0,1.0,1.0
