teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
sem_erro,catboost,lacuna,20,5,5,23,23,8,15,0,23,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999565218,23,0,0,0
sem_erro,catboost,lacuna,20,10,10,12,12,4,8,0,12,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999166667,12,0,0,0
sem_erro,catboost,lacuna,20,15,15,8,8,3,5,0,8,0,1,1,0.875,0.875,0.0,0.0,0.0,0.874999999890625,7,1,0,0
sem_erro,catboost,lacuna,20,20,20,6,6,2,4,0,6,0,1,1,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.8333333331944445,5,1,0,0
sem_erro,catboost,lacuna,30,5,5,21,21,8,13,0,21,0,0,0,1.0,1.0,0.0,0.0,0.0,0.999999999952381,21,0,0,0
sem_erro,catboost,lacuna,30,10,10,11,11,4,7,0,11,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999090909,11,0,0,0
sem_erro,catboost,lacuna,30,15,15,7,7,2,5,0,7,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999998571428,7,0,0,0
sem_erro,catboost,lacuna,30,20,20,6,6,3,3,0,6,0,2,2,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666663888888,1,5,0,0
sem_erro,catboost,lacuna,30,25,25,5,5,3,2,0,5,0,1,1,0.8,0.8,0.0,0.0,0.0,0.79999999984,4,1,0,0
sem_erro,catboost,lacuna,40,5,5,19,19,8,11,0,19,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999473684,19,0,0,0
sem_erro,catboost,lacuna,40,10,10,10,10,4,6,0,10,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999,10,0,0,0
sem_erro,catboost,lacuna,40,15,15,7,7,3,4,0,7,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999998571428,7,0,0,0
sem_erro,catboost,lacuna,40,20,20,5,5,2,3,0,5,0,1,1,0.6,0.6,0.0,0.0,0.0,0.59999999988,3,2,0,0
sem_erro,catboost,lacuna,40,25,25,4,4,2,2,0,4,0,1,1,0.5,0.5,0.0,0.0,0.0,0.499999999875,2,2,0,0
sem_erro,catboost,lacuna,40,30,30,4,4,2,2,0,4,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
sem_erro,catboost,lacuna,50,5,5,17,17,8,9,0,17,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999411765,17,0,0,0
sem_erro,catboost,lacuna,50,10,10,9,9,4,5,0,9,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999998888889,9,0,0,0
sem_erro,catboost,lacuna,50,15,15,6,6,3,3,0,6,0,1,1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666665555555,4,2,0,0
sem_erro,catboost,lacuna,50,20,20,5,5,3,2,0,5,0,1,1,0.8,0.8,0.0,0.0,0.0,0.79999999984,4,1,0,0
sem_erro,catboost,lacuna,60,5,5,15,15,8,7,0,15,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999333333,15,0,0,0
sem_erro,catboost,lacuna,60,10,10,8,8,4,4,0,8,0,1,1,0.625,0.625,0.0,0.0,0.0,0.624999999921875,5,3,0,0
sem_erro,catboost,lacuna,60,15,15,5,5,2,3,0,5,0,1,1,0.6,0.6,0.0,0.0,0.0,0.59999999988,3,2,0,0
sem_erro,catboost,lacuna,60,20,20,4,4,2,2,0,4,0,1,1,0.5,0.5,0.0,0.0,0.0,0.499999999875,2,2,0,0
sem_erro,catboost,lacuna,70,5,5,13,13,8,5,0,13,0,1,1,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,0.6153846153372781,8,5,0,0
sem_erro,catboost,lacuna,70,10,10,7,7,4,3,0,7,0,1,1,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.7142857141836735,5,2,0,0
sem_erro,catboost,lacuna,70,15,15,5,5,3,2,0,5,0,1,1,0.6,0.6,0.0,0.0,0.0,0.59999999988,3,2,0,0
sem_erro,catboost,lacuna,80,5,5,11,11,8,3,0,11,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999090909,11,0,0,0
sem_erro,catboost,lacuna,80,10,10,6,6,4,2,0,6,0,2,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.33333333327777775,2,4,0,0
sem_erro,catboost,oscilacao,20,5,5,23,23,20,3,0,23,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0,0
sem_erro,catboost,oscilacao,20,10,10,12,12,10,2,0,12,0,2,2,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333332638888,1,11,0,0
sem_erro,catboost,queda,20,5,5,23,23,8,15,0,23,0,1,1,0.8695652173913043,0.8695652173913043,0.0,0.0,0.0,0.8695652173534971,20,3,0,0
sem_erro,catboost,queda,20,10,10,12,12,4,8,0,12,0,1,1,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.9166666665902777,11,1,0,0
sem_erro,catboost,queda,20,15,15,8,8,3,5,0,8,0,1,1,0.875,0.875,0.0,0.0,0.0,0.874999999890625,7,1,0,0
sem_erro,catboost,queda,20,20,20,6,6,2,4,0,6,0,1,1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666665555555,4,2,0,0
sem_erro,catboost,queda,30,5,5,21,21,8,13,0,21,0,1,1,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.7142857142517007,15,6,0,0
sem_erro,catboost,queda,30,10,10,11,11,4,7,0,11,0,1,1,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.9090909090082645,10,1,0,0
sem_erro,catboost,queda,30,15,15,7,7,2,5,0,7,0,1,1,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.8571428570204082,6,1,0,0
