Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,18,0,486,0,451,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,243,0,226,0,1.0,1.0,1.0,1.0,1.0
15,18,18,0,159,0,154,0,1.0,1.0,1.0,1.0,1.0
20,18,18,0,121,0,114,0,1.0,1.0,1.0,1.0,1.0
25,18,18,0,100,0,88,0,1.0,1.0,1.0,1.0,1.0
30,18,18,0,82,0,75,0,1.0,1.0,1.0,1.0,1.0
35,17,17,0,65,0,65,4,0.9701492537313433,1.0,0.9420289855072463,0.9701492537313433,0.9710144927536232
40,16,16,0,63,0,55,0,1.0,1.0,1.0,1.0,1.0
45,17,17,0,53,0,52,0,1.0,1.0,1.0,1.0,1.0
50,15,15,0,48,0,46,0,1.0,1.0,1.0,1.0,1.0
55,16,16,0,46,0,40,0,1.0,1.0,1.0,1.0,1.0
60,16,16,0,40,0,39,0,1.0,1.0,1.0,1.0,1.0
65,14,14,0,39,0,34,0,1.0,1.0,1.0,1.0,1.0
70,16,16,0,35,0,30,2,0.9701492537313433,1.0,0.9459459459459459,0.9722222222222222,0.972972972972973
