Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,17,0,314,0,627,0,1.0,1.0,1.0,1.0,1.0
10,17,17,0,158,0,313,0,1.0,1.0,1.0,1.0,1.0
15,17,17,0,105,0,209,0,1.0,1.0,1.0,1.0,1.0
20,17,17,0,82,0,154,0,1.0,1.0,1.0,1.0,1.0
25,17,17,0,64,0,125,0,1.0,1.0,1.0,1.0,1.0
30,16,16,0,53,0,104,0,1.0,1.0,1.0,1.0,1.0
35,16,16,0,44,0,91,0,1.0,1.0,1.0,1.0,1.0
40,14,15,1,34,0,77,7,0.940677966101695,1.0,0.8292682926829268,0.9066666666666666,0.9146341463414633
45,15,15,0,34,0,71,0,1.0,1.0,1.0,1.0,1.0
50,15,15,0,33,0,62,0,1.0,1.0,1.0,1.0,1.0
