Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,941,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,471,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,314,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,236,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,189,0,1.0,0.0,0.0,0.0,1.0
30,0,1,1,0,1,156,0,0.9936305732484076,0.0,0.0,0.0,0.9936305732484076
35,0,1,1,0,1,134,0,0.9925925925925926,0.0,0.0,0.0,0.9925925925925926
40,0,0,0,0,0,118,0,1.0,0.0,0.0,0.0,1.0
45,0,1,1,0,1,104,0,0.9904761904761905,0.0,0.0,0.0,0.9904761904761905
50,0,0,0,0,0,95,0,1.0,0.0,0.0,0.0,1.0
